MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"HD 127193" "14 31 10.8395" "-38 52 10.959" "" 13300000.00 "" km "" "" "" 2011A&A...536A..71J 5.982999801635742 9.159 0
"V* IW Vel" "10 57 07.8469" "-50 45 54.060" "" "" "" "" "" "" "" "" 5.8979997634887695 9.201 0
"HD  34255" "05 20 22.6106" "+62 39 13.360" "" "" "" "" "" "" "" "" 5.5980000495910645 1.973 0
"HD  84228" "09 41 47.9267" "-55 12 49.541" "" "" "" "" "" "" "" "" 5.980000019073486 2.093 0
"* tet02 Cru" "12 04 19.2200" "-63 09 56.516" "" "" "" "" "" "" "" "" 4.716000080108643 4.731 0
"HD 119752" "13 45 36.8912" "-26 06 57.636" "" "" "" "" "" "" "" "" 5.795000076293945 11.579 0
"*   1 LMi" "08 38 18.9811" "+32 48 07.260" "" "" "" "" "" "" "" "" 5.949999809265137 8.455 0
"* iot UMa" "08 59 12.4536" "+48 02 30.574" "" "" "" "" "" "" "" "" 3.140000104904175 68.920 0
"* l Ori" "06 17 06.6198" "+09 56 32.614" "" "" "" "" "" "" "" "" 5.386000156402588 12.117 0
"[SGR85] 37-51  1" "22 08 59.0" "-18 31 11" "" "" "" "" "" "" "" "" 5.840000152587891 "" 0
"HD 137389" "15 22 37.2557" "+62 02 49.429" "" "" "" "" "" "" "" "" 5.986000061035156 6.951 0
"HD 199443" "20 57 40.6448" "-16 01 53.540" "" "" "" "" "" "" "" "" 5.86899995803833 16.325 0
"* f02 Ori" "06 15 25.1283" "+16 08 35.395" "" "" "" "" "" "" "" "" 5.327000141143799 7.758 0
"* eta And" "00 57 12.4001" "+23 25 03.535" "" "" "" "" "" "" "" "" 4.420000076293945 14.200 0
"HD  36848" "05 32 51.4130" "-38 30 48.130" "" "" "" "" "" "" "" "" 5.455999851226807 18.784 0
"*   1 Ser" "14 57 33.2513" "-00 10 03.402" "" "" "" "" "" "" "" "" 5.51200008392334 10.128 0
"* ksi02 Cet" "02 28 09.5570" "+08 27 36.216" "" "" "" "" "" "" "" "" 4.300000190734863 16.568 0
"* zet Ori A" "05 40 45.5271" "-01 56 33.260" "" "" "" "" "" "" "" "" 1.899999976158142 "" 0
"* sig02 Gru" "22 36 58.8533" "-40 35 27.726" "" "" "" "" "" "" "" "" 5.874000072479248 14.234 0
"* pi. Men" "05 37 09.8868" "-80 28 08.834" "" 1570000.00 "" km 27800.00 "" "" 2016A&A...585A...5B 5.670000076293945 54.682 0
"HD  36060" "05 27 05.3115" "-40 56 36.687" "" "" "" "" "" "" "" "" 5.8470001220703125 11.509 0
"* eta Gru" "22 45 37.8819" "-53 30 00.431" "" "" "" "" "" "" "" "" 4.8460001945495605 7.214 0
"* tau CMa" "07 18 42.4864" "-24 57 15.741" "" "" "" "" "" "" "" "" 4.400000095367432 1.090 0
